hash,location,date,text
"['Covid', 'Futuro', 'Inovação', 'Educação']","São Paulo, SP",2020-12-09 16:47:26,"De volta para o futuro

https://t.co/3G8wryLBe2
@recordtvoficial 

#Covid #Futuro #Inovação #Educação"
"['evento', 'certificaçãodigital', 'inovação']",Brasil,2020-12-09 16:46:01,"Acompanhe o Painel sobre Certificados Digitais do evento da SBIS – Dia 10/12

#evento #certificaçãodigital #inovação @sbis_brasil @Odontologia_CFO @itigovbr 
https://t.co/QSftZxWc0Y via @portalcryptoid"
['Cyberpunk2077'],,2020-12-09 16:45:01,"É engraçado, né, em várias notícias sobre o #Cyberpunk2077 tava flando ""ah vai dar para criar personagens trans, olha que inovação e inclusão"". Quando vai ver como é: (segue)+"
"['FMUSP', 'FMUSPOficial', 'MedicinaUSP', 'HCFMUSP']",São Paulo - Brasil,2020-12-09 16:41:31,"Instituto de Medicina Física e Reabilitação do HCFMUSP é um dos vencedores do Prêmio Abril &amp; Dasa de Inovação Médica 2020

A cerimônia de premiação será realizada hoje, dia 09 de dezembro de 2020, às 20h, em: https://t.co/ENMQL5Awms

#FMUSP #FMUSPOficial #MedicinaUSP #HCFMUSP"
"['fintwit', 'ecommerce']","Sao Paulo, Brazil",2020-12-09 16:36:35,"Conheça a Tray, empresa que a @locaweb  adquiriu em 2012 e que é a grande responsável pelo seu crescimento em 2020
#fintwit #ecommerce 

https://t.co/otHiWhgzH0"
"['BRICS', 'Xiamen']","Rio de Janeiro, Brasil",2020-12-09 16:30:00,"Países do #BRICS inauguram centro de inovação de parceria em #Xiamen https://t.co/EWiIr8tguC

O centro de inovação da Parceria do BRICS para a Nova Revolução Industrial foi inaugurado na cidade chinesa de Xiamen na terça-feira. https://t.co/RmULNF6Fqf"
"['administração', 'profissionais', 'participe', 'inovação', 'negócios', 'cra', 'crapr', 'souadm', 'adm', 'administrador', 'administradora']","Curitiba, Brasil",2020-12-09 16:28:23,"Essência do comportamento é objeto de estudo no marketing

Leia em: https://t.co/JCGCEdeLWk

#administração #profissionais #participe #inovação #negócios #cra #crapr #souadm #adm #administrador #administradora https://t.co/2bWK03aSwf"
"['nocode', 'benocoder', 'inovacao', 'SAPTechEd', 'sap']",@RioDeJaneiro (Brazil),2020-12-09 16:25:22,"As ferramentas visuais (#nocode) vieram para acabar de vez com o sufoco que os profissionais de negócio tinham por não poderem criar suas próprias soluções digitais.

Agora podem! E em horas. E até mesmo no SAP!

https://t.co/H168bX0TgD

#benocoder #inovacao #SAPTechEd #sap"
"['FdCDigital', 'Ciência', 'Tecnologia', 'Inovação', 'Negócios', 'Secitece', 'GovernodoCeará']","Ceará, Brazil",2020-12-09 16:01:13,"A gente caprichou na programação da Feira do Conhecimento Digital. Agora é só você convidar os amigos e aproveitar! 

Vem pra FdC Digital!

Inscrições no site https://t.co/luSBYeIE1h 

#FdCDigital #Ciência #Tecnologia #Inovação #Negócios #Secitece #GovernodoCeará https://t.co/lkLEWnSmLx"
"['tecnologia', 'proteçãodedados', 'inovação']",Brasil,2020-12-09 15:59:13,"A cibersegurança e o mundo do ‘Novo Normal’ 

#tecnologia #proteçãodedados #inovação @Blockbit_ 
https://t.co/mAgJrKFzXW via @portalcryptoid"
